hour,day,month,day_of_week,temp,humidity,wind_speed,pm2_5,pm10,co,no2,so2,o3,aqi,aqi_24h_ago,aqi_48h_ago,aqi_72h_ago,aqi_change_24h,aqi_rolling_mean_24h,aqi_rolling_std_24h
5,14,8,0,26.3,89,24.5,15.2,39.9,95.0,4.0,2.9,44.0,62,66.0,66.0,70.0,-4.0,68.20833333333333,2.1665273087847443
1,20,8,6,25.2,89,19.3,17.1,55.8,99.0,6.5,3.1,40.0,66,63.0,64.0,61.0,3.0,63.583333333333336,4.158978414139099
21,25,8,4,25.9,90,16.4,18.7,46.4,169.0,15.2,4.4,32.0,69,74.0,69.0,69.0,-5.0,68.16666666666667,4.177232979176388
18,31,8,3,27.3,77,17.6,19.2,91.7,153.0,9.5,5.3,47.0,70,61.0,66.0,79.0,9.0,63.916666666666664,2.733315659186395
14,6,9,2,31.0,65,22.0,24.0,97.1,163.0,4.1,6.2,100.0,79,71.0,76.0,69.0,8.0,77.66666666666667,3.3578806290340166
11,12,9,1,30.0,66,31.2,16.2,41.7,114.0,3.3,3.7,66.0,64,63.0,59.0,67.0,1.0,65.41666666666667,2.263446134944585
7,18,9,0,26.9,93,13.4,18.4,65.7,190.0,11.9,5.1,37.0,68,71.0,62.0,71.0,-3.0,70.25,4.901197724070499
4,24,9,6,27.0,90,14.5,33.1,135.5,126.0,7.3,4.0,47.0,96,71.0,83.0,70.0,25.0,83.33333333333333,4.940222373684202
0,30,9,5,26.2,97,6.9,32.7,115.7,275.0,21.3,5.3,44.0,95,84.0,93.0,96.0,11.0,89.04166666666667,3.972505141777837
21,5,10,3,28.5,76,15.5,27.0,73.3,218.0,12.5,5.0,66.0,84,73.0,69.0,70.0,11.0,77.375,4.660775266729349
17,11,10,2,30.1,69,17.8,15.9,54.9,228.0,10.9,5.6,69.0,64,78.0,85.0,99.0,-14.0,69.45833333333333,4.615467065409783
14,17,10,1,30.7,62,24.3,22.5,70.5,168.0,4.1,4.1,86.0,76,72.0,94.0,69.0,4.0,74.33333333333333,4.975301316343011
10,23,10,0,29.7,67,5.4,28.3,67.1,519.0,24.9,14.6,77.0,87,88.0,91.0,84.0,-1.0,86.70833333333333,3.850230559631447
7,29,10,6,24.6,99,5.1,40.4,71.2,769.0,52.9,11.6,12.0,113,94.0,96.0,95.0,19.0,90.91666666666667,7.0828431202920115
3,4,11,5,25.3,90,10.7,35.3,60.8,312.0,16.2,5.3,62.0,100,114.0,133.0,81.0,-14.0,101.375,9.774912431499292
0,10,11,4,25.6,83,16.8,53.6,91.7,546.0,33.3,7.1,52.0,146,157.0,173.0,127.0,-11.0,144.04166666666666,17.08159234677649
20,15,11,2,26.5,30,15.5,55.4,81.7,624.0,33.1,15.8,81.0,150,71.0,93.0,104.0,79.0,95.75,23.84779636160016
17,21,11,1,30.4,21,16.5,60.8,94.1,503.0,13.2,20.8,152.0,155,157.0,176.0,168.0,-2.0,164.33333333333334,8.483573214910685
13,27,11,0,25.4,47,19.7,59.5,89.9,517.0,5.4,23.2,141.0,154,138.0,113.0,100.0,16.0,125.5,16.730602005853306
10,3,12,6,24.0,46,20.9,47.5,70.1,564.0,13.8,20.9,103.0,131,152.0,102.0,152.0,-21.0,123.79166666666667,19.455588593929495
6,9,12,5,21.3,77,3.7,18.7,45.5,518.0,33.4,10.1,39.0,69,83.0,90.0,86.0,-14.0,82.45833333333333,10.01728578472118
3,15,12,4,17.1,58,12.5,28.8,52.9,376.0,11.0,20.2,71.0,88,107.0,101.0,82.0,-19.0,99.75,17.426242080365263
23,20,12,2,18.4,36,13.5,27.6,41.0,577.0,28.2,18.4,61.0,85,94.0,108.0,82.0,-9.0,86.125,11.337941305347034
20,26,12,1,21.5,76,7.4,33.2,52.0,891.0,50.8,13.2,73.0,96,164.0,157.0,102.0,-68.0,140.625,33.2301755219171
16,1,1,0,26.4,26,2.4,29.7,47.4,510.0,8.3,25.3,150.0,89,85.0,70.0,59.0,4.0,118.66666666666667,17.097334312100593
13,7,1,6,24.4,35,21.4,38.0,60.3,614.0,6.4,22.4,145.0,107,112.0,113.0,81.0,-5.0,129.25,15.66011272101208
9,13,1,5,15.6,77,6.4,63.3,96.2,1232.0,45.0,18.0,44.0,156,127.0,98.0,130.0,29.0,119.54166666666667,36.96176539952187
6,19,1,4,14.5,63,11.2,44.5,71.7,752.0,20.6,18.2,70.0,123,157.0,102.0,72.0,-34.0,146.875,12.955819575371807
